invoice_id,customer_id,date,action,outcome,remaining_amount_before,amount_recovered,remaining_amount_after,status_after,promise_date
INV00001,CUST0019,2026-03-01,gentle_reminder,ignore,364972.32,0.0,364972.32,overdue,
INV00002,CUST0017,2026-03-01,gentle_reminder,ignore,42040.68,0.0,42040.68,overdue,
INV00003,CUST0020,2026-03-01,gentle_reminder,ignore,314576.89,0.0,314576.89,overdue,
INV00004,CUST0031,2026-03-01,gentle_reminder,ignore,411217.48,0.0,411217.48,overdue,
INV00005,CUST0001,2026-03-01,gentle_reminder,ignore,475638.57,0.0,475638.57,overdue,
INV00006,CUST0026,2026-03-01,gentle_reminder,ignore,81318.93,0.0,81318.93,overdue,
INV00007,CUST0034,2026-03-01,gentle_reminder,ignore,577054.85,0.0,577054.85,overdue,
INV00008,CUST0039,2026-03-01,gentle_reminder,ignore,132328.57,0.0,132328.57,overdue,
INV00009,CUST0040,2026-03-01,gentle_reminder,ignore,417690.25,0.0,417690.25,overdue,
INV00010,CUST0028,2026-03-01,gentle_reminder,ignore,426149.47,0.0,426149.47,overdue,
INV00011,CUST0033,2026-03-01,gentle_reminder,pay,641404.24,641404.24,0.0,paid,
INV00012,CUST0015,2026-03-01,gentle_reminder,partial,298155.37,84000.71,214154.66,overdue,
INV00013,CUST0007,2026-03-01,gentle_reminder,ignore,507797.18,0.0,507797.18,overdue,
INV00014,CUST0035,2026-03-01,gentle_reminder,ignore,373704.59,0.0,373704.59,overdue,
INV00015,CUST0005,2026-03-01,gentle_reminder,pay,532550.1,532550.1,0.0,paid,
INV00016,CUST0005,2026-03-01,gentle_reminder,ignore,73443.25,0.0,73443.25,overdue,
INV00017,CUST0017,2026-03-01,gentle_reminder,ignore,525196.84,0.0,525196.84,overdue,
INV00018,CUST0030,2026-03-01,gentle_reminder,ignore,729716.33,0.0,729716.33,overdue,
INV00019,CUST0019,2026-03-01,gentle_reminder,ignore,170657.75,0.0,170657.75,overdue,
INV00020,CUST0039,2026-03-01,gentle_reminder,promise,558916.16,0.0,558916.16,promised,2026-03-08
INV00021,CUST0040,2026-03-01,gentle_reminder,ignore,396351.47,0.0,396351.47,overdue,
INV00022,CUST0007,2026-03-01,gentle_reminder,pay,571463.67,571463.67,0.0,paid,
INV00023,CUST0019,2026-03-01,gentle_reminder,pay,446025.06,446025.06,0.0,paid,
INV00024,CUST0020,2026-03-01,gentle_reminder,ignore,375292.1,0.0,375292.1,overdue,
INV00025,CUST0033,2026-03-01,gentle_reminder,ignore,757286.01,0.0,757286.01,overdue,
INV00026,CUST0014,2026-03-01,gentle_reminder,ignore,426391.58,0.0,426391.58,overdue,
INV00027,CUST0024,2026-03-01,gentle_reminder,ignore,711186.8,0.0,711186.8,overdue,
INV00028,CUST0024,2026-03-01,gentle_reminder,ignore,139866.24,0.0,139866.24,overdue,
INV00029,CUST0032,2026-03-01,gentle_reminder,promise,125455.17,0.0,125455.17,promised,2026-03-11
INV00030,CUST0023,2026-03-01,gentle_reminder,ignore,269769.86,0.0,269769.86,overdue,
INV00031,CUST0022,2026-03-01,gentle_reminder,ignore,24201.47,0.0,24201.47,overdue,
INV00032,CUST0019,2026-03-01,gentle_reminder,ignore,799052.12,0.0,799052.12,overdue,
INV00033,CUST0038,2026-03-01,gentle_reminder,ignore,52890.46,0.0,52890.46,overdue,
INV00034,CUST0007,2026-03-01,gentle_reminder,partial,749438.06,449048.05,300390.01,overdue,
INV00035,CUST0016,2026-03-01,gentle_reminder,ignore,621949.16,0.0,621949.16,overdue,
INV00036,CUST0028,2026-03-01,gentle_reminder,ignore,702445.2,0.0,702445.2,overdue,
INV00037,CUST0036,2026-03-01,gentle_reminder,ignore,589896.69,0.0,589896.69,overdue,
INV00038,CUST0029,2026-03-01,gentle_reminder,ignore,239673.53,0.0,239673.53,overdue,
INV00039,CUST0004,2026-03-01,gentle_reminder,promise,385664.51,0.0,385664.51,promised,2026-03-12
INV00040,CUST0022,2026-03-01,gentle_reminder,pay,781392.5,781392.5,0.0,paid,
INV00041,CUST0017,2026-03-01,gentle_reminder,ignore,452497.54,0.0,452497.54,overdue,
INV00042,CUST0026,2026-03-01,gentle_reminder,pay,178179.93,178179.93,0.0,paid,
INV00043,CUST0032,2026-03-01,gentle_reminder,pay,368218.95,368218.95,0.0,paid,
INV00044,CUST0009,2026-03-01,gentle_reminder,promise,283434.86,0.0,283434.86,promised,2026-03-09
INV00045,CUST0006,2026-03-01,gentle_reminder,ignore,462149.93,0.0,462149.93,overdue,
INV00046,CUST0002,2026-03-01,gentle_reminder,ignore,600484.83,0.0,600484.83,overdue,
INV00047,CUST0014,2026-03-01,gentle_reminder,pay,232850.33,232850.33,0.0,paid,
INV00048,CUST0024,2026-03-01,gentle_reminder,partial,635394.84,361282.44,274112.4,overdue,
INV00049,CUST0014,2026-03-01,gentle_reminder,ignore,521946.49,0.0,521946.49,overdue,
INV00050,CUST0028,2026-03-01,gentle_reminder,ignore,348781.91,0.0,348781.91,overdue,
INV00051,CUST0031,2026-03-01,gentle_reminder,ignore,745237.23,0.0,745237.23,overdue,
