invoice_id,action,pay_prob,promise_prob,partial_pay_prob,ignore_prob,annoyance_penalty
INV00001,gentle_reminder,0.163,0.089,0.044,0.704,0.02
INV00001,firm_reminder,0.214,0.117,0.058,0.611,0.05
INV00001,phone_call,0.25,0.136,0.068,0.546,0.06
INV00001,payment_plan_offer,0.278,0.152,0.076,0.494,0.03
INV00001,escalate_collections,0.297,0.162,0.081,0.46,0.18
INV00002,gentle_reminder,0.133,0.072,0.036,0.759,0.02
INV00002,firm_reminder,0.188,0.102,0.051,0.659,0.05
INV00002,phone_call,0.199,0.108,0.054,0.639,0.06
INV00002,payment_plan_offer,0.224,0.122,0.061,0.593,0.03
INV00002,escalate_collections,0.291,0.159,0.079,0.471,0.18
INV00003,gentle_reminder,0.129,0.07,0.035,0.766,0.02
INV00003,firm_reminder,0.166,0.09,0.045,0.699,0.05
INV00003,phone_call,0.228,0.124,0.062,0.586,0.06
INV00003,payment_plan_offer,0.248,0.136,0.068,0.548,0.03
INV00003,escalate_collections,0.262,0.143,0.071,0.524,0.18
INV00004,gentle_reminder,0.185,0.101,0.05,0.664,0.02
INV00004,firm_reminder,0.233,0.127,0.063,0.577,0.05
INV00004,phone_call,0.26,0.142,0.071,0.527,0.06
INV00004,payment_plan_offer,0.28,0.153,0.076,0.491,0.03
INV00004,escalate_collections,0.361,0.197,0.098,0.344,0.18
INV00005,gentle_reminder,0.185,0.101,0.05,0.664,0.02
INV00005,firm_reminder,0.213,0.116,0.058,0.613,0.05
INV00005,phone_call,0.234,0.127,0.064,0.575,0.06
INV00005,payment_plan_offer,0.299,0.163,0.082,0.456,0.03
INV00005,escalate_collections,0.348,0.19,0.095,0.367,0.18
INV00006,gentle_reminder,0.062,0.034,0.017,0.887,0.02
INV00006,firm_reminder,0.082,0.044,0.022,0.852,0.05
INV00006,phone_call,0.164,0.089,0.045,0.702,0.06
INV00006,payment_plan_offer,0.193,0.106,0.053,0.648,0.03
INV00006,escalate_collections,0.226,0.123,0.062,0.589,0.18
INV00007,gentle_reminder,0.121,0.066,0.033,0.78,0.02
INV00007,firm_reminder,0.163,0.089,0.044,0.704,0.05
INV00007,phone_call,0.234,0.127,0.064,0.575,0.06
INV00007,payment_plan_offer,0.233,0.127,0.064,0.576,0.03
INV00007,escalate_collections,0.259,0.141,0.071,0.529,0.18
INV00008,gentle_reminder,0.195,0.106,0.053,0.646,0.02
INV00008,firm_reminder,0.235,0.128,0.064,0.573,0.05
INV00008,phone_call,0.303,0.165,0.083,0.449,0.06
INV00008,payment_plan_offer,0.319,0.174,0.087,0.42,0.03
INV00008,escalate_collections,0.382,0.209,0.104,0.305,0.18
INV00009,gentle_reminder,0.109,0.059,0.03,0.802,0.02
INV00009,firm_reminder,0.146,0.079,0.04,0.735,0.05
INV00009,phone_call,0.192,0.105,0.052,0.651,0.06
INV00009,payment_plan_offer,0.256,0.14,0.07,0.534,0.03
INV00009,escalate_collections,0.275,0.15,0.075,0.5,0.18
INV00010,gentle_reminder,0.274,0.149,0.075,0.502,0.02
INV00010,firm_reminder,0.334,0.182,0.091,0.393,0.05
INV00010,phone_call,0.365,0.199,0.1,0.336,0.06
INV00010,payment_plan_offer,0.361,0.197,0.099,0.343,0.03
INV00010,escalate_collections,0.412,0.225,0.112,0.251,0.18
INV00011,gentle_reminder,0.099,0.054,0.027,0.82,0.02
INV00011,firm_reminder,0.14,0.077,0.038,0.745,0.05
INV00011,phone_call,0.176,0.096,0.048,0.68,0.06
INV00011,payment_plan_offer,0.221,0.12,0.06,0.599,0.03
INV00011,escalate_collections,0.282,0.154,0.077,0.487,0.18
INV00012,gentle_reminder,0.167,0.091,0.046,0.696,0.02
