invoice_id,action,pay_prob,promise_prob,partial_pay_prob,ignore_prob,annoyance_penalty
INV00001,gentle_reminder,0.129,0.071,0.035,0.765,0.0225
INV00001,firm_reminder,0.156,0.085,0.043,0.716,0.0562
INV00001,phone_call,0.206,0.112,0.056,0.626,0.0674
INV00001,payment_plan_offer,0.213,0.116,0.058,0.613,0.0337
INV00001,escalate_collections,0.275,0.15,0.075,0.5,0.2727
INV00002,gentle_reminder,0.101,0.055,0.027,0.817,0.0211
INV00002,firm_reminder,0.14,0.077,0.038,0.745,0.0528
INV00002,phone_call,0.186,0.102,0.051,0.661,0.0634
INV00002,payment_plan_offer,0.233,0.127,0.063,0.577,0.0317
INV00002,escalate_collections,0.233,0.127,0.064,0.576,0.2223
INV00003,gentle_reminder,0.122,0.067,0.033,0.778,0.0262
INV00003,firm_reminder,0.156,0.085,0.043,0.716,0.0656
INV00003,phone_call,0.228,0.124,0.062,0.586,0.0787
INV00003,payment_plan_offer,0.242,0.132,0.066,0.56,0.0394
INV00003,escalate_collections,0.281,0.153,0.077,0.489,0.414
INV00004,gentle_reminder,0.178,0.097,0.048,0.677,0.025
INV00004,firm_reminder,0.169,0.092,0.046,0.693,0.0625
INV00004,phone_call,0.249,0.136,0.068,0.547,0.075
INV00004,payment_plan_offer,0.273,0.149,0.075,0.503,0.0375
INV00004,escalate_collections,0.327,0.179,0.089,0.405,0.3681
INV00005,gentle_reminder,0.194,0.106,0.053,0.647,0.0222
INV00005,firm_reminder,0.259,0.141,0.071,0.529,0.0555
INV00005,phone_call,0.293,0.16,0.08,0.467,0.0666
INV00005,payment_plan_offer,0.332,0.181,0.091,0.396,0.0333
INV00005,escalate_collections,0.381,0.208,0.104,0.307,0.2628
INV00006,gentle_reminder,0.017,0.009,0.004,0.97,0.0282
INV00006,firm_reminder,0.059,0.032,0.016,0.893,0.0704
INV00006,phone_call,0.061,0.033,0.017,0.889,0.0845
INV00006,payment_plan_offer,0.122,0.067,0.033,0.778,0.0422
INV00006,escalate_collections,0.15,0.082,0.041,0.727,0.486
INV00007,gentle_reminder,0.041,0.022,0.011,0.926,0.0212
INV00007,firm_reminder,0.083,0.045,0.023,0.849,0.053
INV00007,phone_call,0.131,0.071,0.036,0.762,0.0636
INV00007,payment_plan_offer,0.153,0.083,0.042,0.722,0.0318
INV00007,escalate_collections,0.157,0.085,0.043,0.715,0.2245
INV00008,gentle_reminder,0.121,0.066,0.033,0.78,0.0222
INV00008,firm_reminder,0.135,0.074,0.037,0.754,0.0554
INV00008,phone_call,0.227,0.124,0.062,0.587,0.0665
