invoice_id,customer_id,invoice_amount,invoice_date,due_date,days_overdue,risk_segment,prior_contact_count,status
INV00001,CUST0019,364972.32,2026-01-21,2026-02-28,1,high,0,overdue
INV00002,CUST0017,42040.68,2026-01-17,2026-02-23,6,high,0,overdue
INV00003,CUST0020,314576.89,2026-01-16,2026-02-25,4,medium,0,overdue
INV00004,CUST0031,411217.48,2026-01-18,2026-02-24,5,medium,0,overdue
INV00005,CUST0001,475638.57,2026-01-16,2026-02-27,2,medium,0,overdue
INV00006,CUST0026,81318.93,2025-11-19,2025-12-26,65,high,0,overdue
INV00007,CUST0034,577054.85,2025-11-08,2026-01-05,55,high,0,overdue
INV00008,CUST0039,132328.57,2025-11-10,2025-12-25,66,high,0,overdue
INV00009,CUST0040,417690.25,2025-11-15,2026-01-12,48,high,0,overdue
INV00010,CUST0028,426149.47,2025-12-20,2026-02-17,12,medium,0,overdue
INV00011,CUST0033,641404.24,2025-11-26,2026-01-13,47,medium,0,overdue
INV00012,CUST0015,298155.37,2026-01-08,2026-02-27,2,medium,0,overdue
INV00013,CUST0007,507797.18,2025-12-18,2026-01-18,42,medium,0,overdue
INV00014,CUST0035,373704.59,2026-01-19,2026-02-18,11,low,0,overdue
INV00015,CUST0005,532550.1,2025-12-14,2026-01-15,45,medium,0,overdue
INV00016,CUST0005,73443.25,2025-12-24,2026-02-17,12,medium,0,overdue
INV00017,CUST0017,525196.84,2026-01-03,2026-02-25,4,high,0,overdue
INV00018,CUST0030,729716.33,2026-01-07,2026-02-21,8,low,0,overdue
INV00019,CUST0019,170657.75,2025-10-17,2025-12-06,85,high,0,overdue
INV00020,CUST0039,558916.16,2025-11-06,2025-12-29,62,high,0,overdue
INV00021,CUST0040,396351.47,2026-01-09,2026-02-09,20,high,0,overdue
INV00022,CUST0007,571463.67,2025-12-30,2026-02-07,22,medium,0,overdue
INV00023,CUST0019,446025.06,2025-12-25,2026-02-21,8,high,0,overdue
INV00024,CUST0020,375292.1,2026-01-19,2026-02-27,2,medium,0,overdue
INV00025,CUST0033,757286.01,2025-12-24,2026-02-21,8,medium,0,overdue
INV00026,CUST0014,426391.58,2026-01-05,2026-02-27,2,high,0,overdue
INV00027,CUST0024,711186.8,2025-12-18,2026-01-25,35,medium,0,overdue
INV00028,CUST0024,139866.24,2025-12-30,2026-01-29,31,medium,0,overdue
INV00029,CUST0032,125455.17,2025-12-27,2026-02-18,11,medium,0,overdue
INV00030,CUST0023,269769.86,2026-01-23,2026-02-22,7,medium,0,overdue
INV00031,CUST0022,24201.47,2025-12-25,2026-02-15,14,medium,0,overdue
INV00032,CUST0019,799052.12,2025-12-22,2026-02-02,27,high,0,overdue
INV00033,CUST0038,52890.46,2026-01-01,2026-02-27,2,high,0,overdue
INV00034,CUST0007,749438.06,2026-01-09,2026-02-28,1,medium,0,overdue
INV00035,CUST0016,621949.16,2026-01-19,2026-02-24,5,low,0,overdue
INV00036,CUST0028,702445.2,2025-12-16,2026-02-13,16,medium,0,overdue
INV00037,CUST0036,589896.69,2025-12-23,2026-02-20,9,low,0,overdue
INV00038,CUST0029,239673.53,2025-11-10,2026-01-06,54,medium,0,overdue
INV00039,CUST0004,385664.51,2026-01-10,2026-02-14,15,medium,0,overdue
INV00040,CUST0022,781392.5,2025-11-06,2025-12-29,62,high,0,overdue
INV00041,CUST0017,452497.54,2026-01-08,2026-02-22,7,high,0,overdue
INV00042,CUST0026,178179.93,2026-01-26,2026-02-27,2,high,0,overdue
INV00043,CUST0032,368218.95,2025-12-28,2026-02-20,9,medium,0,overdue
INV00044,CUST0009,283434.86,2026-01-16,2026-02-20,9,low,0,overdue
INV00045,CUST0006,462149.93,2025-12-30,2026-02-23,6,high,0,overdue
INV00046,CUST0002,600484.83,2025-12-05,2026-01-17,43,medium,0,overdue
INV00047,CUST0014,232850.33,2026-01-08,2026-02-22,7,high,0,overdue
INV00048,CUST0024,635394.84,2025-12-04,2026-01-23,37,medium,0,overdue
INV00049,CUST0014,521946.49,2025-12-25,2026-02-05,24,high,0,overdue
INV00050,CUST0028,348781.91,2026-01-24,2026-02-24,5,medium,0,overdue
INV00051,CUST0031,745237.23,2026-01-08,2026-02-19,10,medium,0,overdue
INV00052,CUST0034,100601.11,2025-12-22,2026-02-15,14,high,0,overdue
INV00053,CUST0010,662935.35,2025-12-28,2026-02-26,3,low,0,overdue
INV00054,CUST0030,113636.64,2026-01-03,2026-02-27,2,low,0,overdue
INV00055,CUST0037,770511.39,2025-10-26,2025-12-04,87,high,0,overdue
INV00056,CUST0017,103024.16,2025-10-25,2025-12-18,73,high,0,overdue
INV00057,CUST0005,219792.28,2026-01-13,2026-02-24,5,medium,0,overdue
INV00058,CUST0039,233703.87,2026-01-15,2026-02-28,1,low,0,overdue
INV00059,CUST0021,199292.96,2025-12-03,2026-01-18,42,medium,0,overdue
INV00060,CUST0016,32103.1,2026-01-28,2026-02-28,1,low,0,overdue
INV00061,CUST0032,216946.06,2025-12-22,2026-01-23,37,medium,0,overdue
INV00062,CUST0028,561220.89,2026-01-02,2026-02-02,27,medium,0,overdue
INV00063,CUST0027,640695.41,2026-01-24,2026-02-23,6,low,0,overdue
INV00064,CUST0033,616197.83,2026-01-19,2026-02-27,2,medium,0,overdue
INV00065,CUST0013,713127.09,2026-01-02,2026-02-25,4,medium,0,overdue
INV00066,CUST0007,190309.45,2025-12-23,2026-02-19,10,medium,0,overdue
INV00067,CUST0027,738709.98,2025-12-20,2026-01-23,37,medium,0,overdue
INV00068,CUST0004,55694.83,2026-01-13,2026-02-25,4,medium,0,overdue
INV00069,CUST0004,261646.97,2025-10-20,2025-12-17,74,high,0,overdue
INV00070,CUST0008,160627.07,2026-01-22,2026-02-27,2,medium,0,overdue
INV00071,CUST0034,584421.19,2025-12-28,2026-02-17,12,high,0,overdue
INV00072,CUST0024,76419.98,2026-01-24,2026-02-23,6,medium,0,overdue
INV00073,CUST0006,610661.9,2025-12-02,2026-01-31,29,high,0,overdue
INV00074,CUST0025,53667.01,2025-12-19,2026-01-20,40,medium,0,overdue
INV00075,CUST0031,268797.71,2025-12-28,2026-02-02,27,medium,0,overdue
